"","Degree","Closeness","Betweennes","Eigen.vector","SS","Program"
"manifest",5,0.00127388535031847,0.00102148364685996,0.00046855522483206,"manifest","Bachelor"
"motivat*",219,0.00146842878120411,13.8400048552394,0.0428277452042779,"motivat*","Bachelor"
"patience",5,0.00127388535031847,0.0312640470566639,0.000403513145229686,"patience","Bachelor"
"persua*",27,0.00131752305665349,0.0576375395786488,0.00862742724155791,"persua*","Bachelor"
"planning",835,0.00160513643659711,321.781077359414,0.221646837733054,"planning","Bachelor"
"problem solving",362,0.00154559505409583,402.215218943512,0.075532625485923,"problem solving","Bachelor"
"reflect",34,0.00133511348464619,0.670684947538105,0.00642625674935786,"reflect","Bachelor"
"respect",148,0.00146412884333821,284.213866389852,0.0285441902943683,"respect","Bachelor"
"responsible",104,0.00149476831091181,104.354041092624,0.0120453151376902,"responsible","Bachelor"
"share",54,0.00139470013947001,10.7733664369903,0.0067759305846725,"share","Bachelor"
"solve",477,0.00159489633173844,167.97543446087,0.108899470216102,"solve","Bachelor"
"strengthen",18,0.00132450331125828,0.487787604213831,0.00130049601597941,"strengthen","Bachelor"
"teamwork",44,0.00139082058414465,9.95307532479024,0.00636199580689253,"teamwork","Bachelor"
"thrust",43,0.00134589502018843,9.3475856444725,0.00774103537363576,"thrust","Bachelor"
"understand",2795,0.00182815356489945,2134.87939505177,0.64549260196196,"understand","Bachelor"
"undertake",50,0.00139470013947001,9.46360179429747,0.00463221227222181,"undertake","Bachelor"
"acknowledge1",1,0.00107991360691145,0,3.73924113515264e-06,"acknowledge","Master"
"analyze1",761,0.00137362637362637,487.203332073501,0.032009574826152,"analyze","Master"
"appreciate1",162,0.00124069478908189,4.73416812371247,0.00993881823535102,"appreciate","Master"
"argue1",1,0.00105485232067511,0,1.06618774590243e-06,"argue","Master"
"bridge1",104,0.00124378109452736,29.1531296428204,0.00188885194940183,"bridge","Master"
"change1",904,0.00148367952522255,887.969921021261,0.0579704064185078,"change","Master"
"commit1",30,0.00116822429906542,0.599471236286081,0.000635619909001456,"commit","Master"
"communica*1",3286,0.0018450184501845,5551.7075709848,0.133813237977386,"communica*","Master"
"compete1",9,0.00113636363636364,0.00243394301935625,0.000667875648087525,"compete","Master"
"conflict1",267,0.00123456790123457,3.94748695449525,0.0176515093081842,"conflict","Master"
"control1",2566,0.00157232704402516,1603.0515926637,0.102610775471145,"control","Master"
"convinc*1",56,0.00113122171945701,0.0772423185378675,0.00607611055675393,"convinc*","Master"
"cooperat*1",104,0.00125944584382872,7.47514525379318,0.00387092276080246,"cooperat*","Master"
"creat*1",1938,0.00171232876712329,1911.76600386155,0.121146640920075,"creat*","Master"
"critical thinking1",98,0.00127226463104326,33.3191525536578,0.00291144357239632,"critical thinking","Master"
"deci*1",2854,0.00160771704180064,1672.45950123489,0.204249338928508,"deci*","Master"
"empathy1",9,0.00113636363636364,0.108756888881038,0.000652178807202614,"empathy","Master"
"ethics1",614,0.00148367952522255,1160.64827738388,0.0345923346219728,"ethics","Master"
"evaluat*1",3551,0.00167785234899329,2425.41955540985,0.19033982780418,"evaluat*","Master"
"flexibility1",44,0.00119617224880383,16.8171596843615,0.00183436132499628,"flexibility","Master"
"generate1",67,0.00123456790123457,10.4541202080979,0.00253855803599808,"generate","Master"
"guide1",540,0.00140449438202247,117.095372146924,0.0262488688192143,"guide","Master"
"identify1",670,0.00135869565217391,95.2269956492203,0.0346558796892606,"identify","Master"
"innovat*1",842,0.00152439024390244,1736.19583132219,0.0573789780682612,"innovat*","Master"
"inspir*1",41,0.00119331742243437,7.87695047674755,0.00156322375631224,"inspir*","Master"
"interact1",34,0.00117647058823529,2.26184487681882,0.000991388413754595,"interact","Master"
"lead*1",1195,0.00170068027210884,1711.92273886979,0.0760616978136348,"lead*","Master"
"manage*1",13581,0.00223214285714286,24408.9423026559,1,"manage*","Master"
"manifest1",6,0.00107991360691145,0.0168719482782718,3.69745055293454e-05,"manifest","Master"
"motivat*1",422,0.00136239782016349,154.278408143387,0.0279201073125763,"motivat*","Master"
"patience1",2,0.00108695652173913,0.000545376014623718,1.92922289281534e-05,"patience","Master"
"persua*1",44,0.00116550116550117,0.035788793063568,0.00268474934313636,"persua*","Master"
"planning1",2442,0.0016025641025641,1924.47636489402,0.165356222751073,"planning","Master"
"problem solving1",275,0.00136612021857923,46.86368460446,0.011499453689643,"problem solving","Master"
"reflect1",30,0.00115473441108545,1.24707531594488,0.00178086185423013,"reflect","Master"
"respect1",105,0.00127226463104326,4.78502588361947,0.00453880629797353,"respect","Master"
"responsible1",99,0.0012853470437018,76.1414940351437,0.00390977623961116,"responsible","Master"
"share1",176,0.0012531328320802,8.45909731596814,0.0142880529097684,"share","Master"
"solve1",435,0.00133333333333333,187.067618627193,0.0174577284217377,"solve","Master"
"strengthen1",26,0.00117096018735363,3.03269159680903,0.0010030193081826,"strengthen","Master"
"teamwork1",36,0.00117096018735363,2.00357164367024,0.00253838020602407,"teamwork","Master"
"thrust1",25,0.00116009280742459,2.58638236751109,0.000621191949684559,"thrust","Master"
"understand1",2815,0.00149253731343284,1573.69573025935,0.143085949655604,"understand","Master"
"undertake1",80,0.00124069478908189,53.8735917567364,0.0039838892322523,"undertake","Master"
"bridge2",2,0.00628930817610063,0.00944300686682953,0.0115774848989828,"bridge","PhD"
"change2",46,0.00662251655629139,15.6978515872395,0.199426981514088,"change","PhD"
"commit2",1,0.00540540540540541,0,0.00154162424690778,"commit","PhD"
"communica*2",111,0.00854700854700855,224.925873757317,0.227563222511416,"communica*","PhD"
"control2",68,0.00662251655629139,10.6712156089724,0.577587083143337,"control","PhD"
"convinc*2",1,0.0053475935828877,0,0.00123846161672685,"convinc*","PhD"
"cooperat*2",4,0.00662251655629139,0.20653998556621,0.0211795414680472,"cooperat*","PhD"
"creat*2",26,0.00719424460431655,93.2140926273969,0.0566633655175492,"creat*","PhD"
"critical thinking2",2,0.00523560209424084,0.313753970618463,0.000567174115878626,"critical thinking","PhD"
"deci*2",37,0.00775193798449612,38.3013598317863,0.132851183209656,"deci*","PhD"
"ethics2",28,0.00719424460431655,36.4597533598861,0.0501608378624537,"ethics","PhD"
"evaluat*2",81,0.00813008130081301,131.755766811871,0.165552297638594,"evaluat*","PhD"
"flexibility2",3,0.00540540540540541,58.8712486307543,0.000146525806667041,"flexibility","PhD"
"generate2",3,0.0062111801242236,3.4308083691295,0.00958920639401956,"generate","PhD"
"guide2",12,0.00680272108843537,4.43073467267329,0.0164254362721916,"guide","PhD"
"identify2",3,0.00645161290322581,1.03185690261065,0.0100962482581382,"identify","PhD"
"innovat*2",14,0.0075187969924812,46.9156772421532,0.0508104701048025,"innovat*","PhD"
"inspir*2",4,0.00628930817610063,2.12975432892769,0.0192738200726272,"inspir*","PhD"
"interact2",2,0.0062111801242236,0.158110642540935,0.00967107095815545,"interact","PhD"
"lead*2",27,0.00813008130081301,60.7443126077313,0.0918410039996565,"lead*","PhD"
"manage*2",147,0.00917431192660551,594.417255317929,0.748806438404243,"manage*","PhD"
"motivat*2",6,0.0065359477124183,1.57784587734396,0.0318273169284749,"motivat*","PhD"
"planning2",32,0.0065359477124183,7.28629045020523,0.251417109867855,"planning","PhD"
"problem solving2",6,0.00578034682080925,0.180589534748742,0.00773393233054203,"problem solving","PhD"
"reflect2",1,0.00613496932515337,0,0.00955572858213677,"reflect","PhD"
"respect2",5,0.0065359477124183,0.847000426174288,0.0126600595353161,"respect","PhD"
"responsible2",4,0.00598802395209581,0.697271371989138,0.00397208528495412,"responsible","PhD"
"share2",2,0.0062111801242236,0.0347148123371985,0.0103009733718636,"share","PhD"
"solve2",1,0.00465116279069767,0,8.11814541768211e-05,"solve","PhD"
"strengthen2",1,0.00512820512820513,0,0.000526460056865882,"strengthen","PhD"
"thrust2",9,0.0065359477124183,2.83258853430217,0.0229256317192616,"thrust","PhD"
"understand2",22,0.00740740740740741,17.8582897309288,0.0379117883448904,"understand","PhD"
"undertake2",1,0.00512820512820513,0,0.000334169840109015,"undertake","PhD"
